Field Name,Field Alias,Domain Type,Domain Name,Option Name,Option Code,Min Value,Max Value
dataCollection,Data Collection,CodedValue,CollectionMethod,Imagery – Heads Up Digitized,imageryHeadsUpDigitized,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Imagery – Heads up Digitized & Mapping Grade GPS Field Verification,imageryHeadsupDigitizedMappingGradeGpsFieldVerification,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Imagery – Heads up Digitized & Surveyed Field Verification,imageryHeadsupDigitizedSurveyedFieldVerification,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Imagery – Stereo Photo Interpretation,imageryStereoPhotoInterpretation,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Imagery - Stereo Photo Interpretation & Mapping Grade GPS Field Verification,imageryStereoPhotoInterpretationMappingGradeGPSFieldVerification,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Imagery – Stereo Photo Interpretation & Surveyed Field Verification,imageryStereoPhotoInterpretationSurveyedFieldVerification,,
dataCollection,Data Collection,CodedValue,CollectionMethod,LIDAR,lidar,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Optical Survey,opticalSurvey,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Other,other,,
dataCollection,Data Collection,CodedValue,CollectionMethod,As-Built Drawing - Paper,paperAsBuilt,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Record Drawing - Paper,paperDrawing,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Sampling,sampling,,
dataCollection,Data Collection,CodedValue,CollectionMethod,SCADA,scada,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Sketched,sketched,,
dataCollection,Data Collection,CodedValue,CollectionMethod,SPM,spm,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Tape Measure,tapeMeasure,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Traditional Survey,tradSurvey,,
